q_id,question
423,What is the timeline for the release of the State share of premium subsidy by the State Government?
425,How are claims based on yield data and post-harvest losses settled?
426,What happens to the remaining Government subsidy after settling the claims?
427,What is the requirement for non-loanee cultivators to get insured?
428,What is the role of the designated intermediaries in the insurance process?
429,What type of verification is required for farmers buying crop insurance through CSCs or online?
431,What role do designated intermediaries play in the insurance process?
432,How is the application signature obtained for crop insurance bought through CSCs or online?
433,What are the mandatory requirements for non-loanee cultivators to hold in order to get insured?
434,Which parties are involved in facilitating the remittance of claims for insured non-loanee cultivators?
435,What is required for a non-loanee cultivator to become eligible for insurance?
436,What is considered as the applicant's signature for crop insurance bought through CSCs or online?
437,What is the implication of a State Govt./UT issuing a notification for the implementation of the Scheme (PMFBY)?
438,What are the main conditions that bind States/UTs in relation to PMFBY?
439,What is the role of smart phones and hand-held devices in PMFBY?
440,What is the significance of conducting Crop Cutting Experiments (CCEs) in PMFBY?
441,Where should CCE-based yield data be uploaded in PMFBY?
442,What is the importance of budgetary provision in PMFBY?
443,What are pilot studies in relation to PMFBY?
444,What is the role of the Department of State Govt. and the State Level Coordination Committee on Crop Insurance (SLCCCI) in PMFBY?
445,Who can be included in the State Level Coordination Committee on Crop Insurance (SLCCCI) in PMFBY?
446,What does the issuance of a notification by the State Govt./UT imply?
447,What are the main conditions binding on States/UTs with regard to PMFBY?
448,How does the assessment of damage for crop damage arising from post-harvest losses and localized risks take place?
449,What factors are considered by SLCCCI for the purpose of notification?
450,What should state governments ensure with regard to the crops proposed to be notified?
451,What kind of data should state governments provide to insurance companies?
452,What information should be included in the notification by state governments?
453,How should state governments plan and conduct CCEs for irrigated and un-irrigated areas under a crop?
454,How is the assessment of crop damage done for claims arising out of post-harvest losses and localized risks?
456,What is the responsibility of state governments regarding coverage of major crops?
457,What is the objective of Pradhan Mantri Fasal Bima Yojana?
458,Who does Pradhan Mantri Fasal Bima Yojana aim to benefit?
459,What does Pradhan Mantri Fasal Bima Yojana aim to achieve?
460,How does Pradhan Mantri Fasal Bima Yojana support agriculture?
461,What is the purpose of Pradhan Mantri Fasal Bima Yojana?
462,What sector does Pradhan Mantri Fasal Bima Yojana focus on?
463,What is the name of the insurance scheme for crop protection in India?
464,What is the significance of Pradhan Mantri Fasal Bima Yojana?
465,What is the aim of Pradhan Mantri Fasal Bima Yojana (PMFBY)?
466,Who is Pradhan Mantri Fasal Bima Yojana (PMFBY) for?
467,How does Pradhan Mantri Fasal Bima Yojana (PMFBY) support sustainable production?
468,What does Pradhan Mantri Fasal Bima Yojana (PMFBY) aim to achieve in the agriculture sector?
469,What is the main goal of Pradhan Mantri Fasal Bima Yojana (PMFBY)?
470,What kind of support does Pradhan Mantri Fasal Bima Yojana (PMFBY) offer to farmers?
471,What is the National Crop Insurance Portal (NCIP)?
472,What responsibilities do different stakeholders have on the National Crop Insurance Portal?
473,What basic information needs to be digitized and uploaded on the National Crop Insurance Portal by implementing states and insurance companies?
474,"What will happen if there are any incorrect entries, errors, or omissions in the digitized information on the National Crop Insurance Portal?"
475,When should the digitization of basic information/notification be done for the Crop Insurance Scheme?
476,Can state governments create or use separate portals/websites for Crop Insurance purposes?
477,What are the defined roles and responsibilities of stakeholders on the National Crop Insurance Portal?
478,What is the National Crop Insurance Portal?
479,What is the responsibility of stakeholders in the National Crop Insurance Portal?
480,What information needs to be uploaded on the National Crop Insurance Portal by implementing states and insurance companies?
481,Who is responsible for any incorrect entry or errors on the National Crop Insurance Portal?
482,What is the paid-up capital of the FPO?
483,What is the amount of equity grant sought by the FPO?
484,What is the maximum shareholding allowed for an individual shareholder member in the FPO?
485,In which bank is the account of the FPO maintained?
486,What is the account number of the FPO?
487,What is the branch name and IFSC code associated with the FPO's bank account?
488,How many directors are there in the FPO and what are their briefs?
489,What is the mode of election or nomination for the FPO?
490,What is the evaluation criteria for the first envelope of bids for crop insurance?
491,What happens if a crop is dropped from the proposed list for notification?
492,Under what circumstances can re-tendering be held?
493,What is the requirement for states regarding the National Crop Insurance Portal?
494,What conditions should be incorporated in the bid document itself?
495,What is the first step in evaluating the bid?
496,What happens if the actuarial rates offered by the Insurance Companies do not align with the risk propensity and weather susceptibility of the crop?
497,How is the evaluation of the L1 bidder performed for the remaining crops?
498,When is the second envelope opened by the State Government?
499,What is the role of a member in Agriculture?
500,What does a member in Horticulture do?
501,What are the duties of a member in Animal Husbandry?
502,What is the role of a member in Fisheries?
503,What does a member in Marketing do?
504,What are the responsibilities of a member in Cooperation?
505,What is the role of a DDM (NABARD)?
506,What is a member in the context of Agriculture/Horticulture/Animal Husbandry/Fisheries/Marketing/Cooperation?
507,What does DDM stand for in the field of NABARD?
508,What is the role of a member in agriculture?
509,What are the responsibilities of a member in horticulture?
510,What does a member in animal husbandry do?
511,What is the principle on which the Scheme operates?
512,Who is responsible for notifying the crops and defined areas covered during the season?
513,What unit is notified as an insurance unit for major crops defined at the District/Taluka level?
514,What unit is notified for other crops which are not considered major crops?
515,How is a crop determined as a major crop for deciding the Insurance Unit level?
517,How are the defined areas for the Scheme determined?
518,What unit is notified by the State/UT Government as an insurance unit for major crops defined at District/Taluka level?
519,Who should I contact for further information about risk analysis?
520,How can I contact the Chief General Manager of the Small Farmers' Agri-Business Consortium?
521,Where is the head office of the National Bank for Agriculture & Rural Development located?
522,How can I contact the Managing Director of the Small Farmers' Agri-Business Consortium?
523,Where can I find further information about the Small Farmers' Agri-Business Consortium?
524,How can I contact the Agriculture Marketing Adviser at the Directorate of Marketing & Inspection?
525,Where is the office of the National Co-operative Development Corporation located?
526,How can I contact the National Co-operative Development Corporation?
527,What is the role of an FPO?
528,What is Aadhar Number in the context of FPOs?
529,What qualifications are required to be a member of an FPO?
530,Is there any tenure requirement for being a member of an FPO?
531,What is the contact information provided by the FPOs?
532,What is the significance of land holding in FPOs?
533,Who are the members of the Board/Governing Body in an FPO?
534,How many members are usually there in the Board/Governing Body of an FPO?
535,What is the role of the FPO?
536,What is Aadhaar number and why is it needed?
537,What qualifications are required to be a member of the FPO?
538,Is there a specific tenure for being a member of the FPO?
539,What are the three categories of food crops?
540,What are the types of crops included in the category of oilseeds?
541,What are the two types of crops included in the category of annual commercial crops?
542,Which methodology is used for yield estimation of perennial horticultural crops?
543,Are there any pilots conducted for perennial crops?
544,What are the different categories of food crops?
545,What are oilseeds?
546,What are the annual commercial/horticultural crops?
547,Are there any special considerations for estimating yields of perennial horticultural crops?
548,What are the types of food crops?
