,id,content
32,28,"'1. Shoot fly : Atherigona varia soccata : Anthomyiidae: Diptera. Symptom of attack: Dead heats or drying of central shoots or production of profuse side tillers in main plants. Nature of damage: The maggots bore into the shoot of young plants, a week after germination to about one month and as a result the central shoot dries up. If the plants are attacked at the initial stages the mother plant may produce profuse side tillers, but the tillers also may be attacked. The infestation often goes as high as 60%. The high yielding hybrid varieties are severely attacked. In South India, crop is damaged during October to December as also in summer. Egg: Whitish eggs are laid singly on the under surface of the leaves which are about one week old. Maggot: The maggots are yellow in colour migrate to the dorsal surface of the leaf, enter the space between the leaf sheath and the axis and make a clear cut through the tightly rolled sheaths and damages growing point. The growing points of the plant die and decay on which the maggots feed. Pupa: Pupation takes place inside the stem itself. Adult: The adult is a small dark fly. Female fly has whitish grey head and thorax, while the abdomen is yellowish with paired brown patches. Male is darker in colour.'"
33,34,"'III. SAP FEEDERS 8. Shoot bug : Peregrinus maidis : Delphacidae:  Hemiptera Symptom of attack: The leaves turn yellow due to sucking; plants become weak and the yield goes down. The mid rib of the leaves become red due to egg laying and may dry up subsequently. Nature of damage: Both adults and nymphs suck the plant sap from the leaves and cause the shoot to dry. They feed gregariously within the leaf sheaths. It is not a serious pest, but sometimes causes appreciable damage. Life stages: It is a small active, grayish brown bug. Colonies of this bug (both adults and nymphs) live within the whorl of the central leaf or in the root region. This pest is very common in Coimbatore during summer. The large black ant attends these insects.'"
34,35,"'9. Plant lice : Rhopalosiphum maidis, Longuinguis sacchari : Aphididae: Hemiptera Nature of damage: Nymphs and adults suck plant sap from the leaf, leaf sheath and inflorescence. They occur in cluster and may cause severe damage to inflorescence by hampering pollination. The aphid colony secretes honeydew in plenty. Life stages: The former one is yellow with dark green legs and lives inside the central leaf. The latter is creamy and lives on the under the surface of lower leaves. These are not serious pests. Reproduction parthenogenetic. Cloudy and humid weather favours reproduction.'"
35,1461,"'The history of tea production in India spans more than 160 years. In 1838, the first consignment of tea from Assam was shipped to England. The word ‘Chai’ is derived from a Cantonese word ‘Chah’ . Plantations in Darjeeling, Tarai and Dooars regions of northern Bengal and Nilgiris and other regions of South India.'"
36,2,"'2. Green leafhopper, Nephotettix virescens , Cicadellidae, Hemiptera Symptoms of attack: Affected plants become pale yellow in colour and get stunted in growth. If the plants are tapped large number of leafhoppers may be seen jumping to water. Nature of damage: Both nymphs and adults suck the plant sap from the leaf and leaf sheath. (It is a phloem feeder. Amino acid content is high in phloem sap than xylem.  The xylem and phloem vessels are plugged with their stylet sheath that causes disruption in the transport of food substances in the vessels.) Mild infestation reduces the vigour of the plant and the number of reproductive tillers. Heavy infestation causes withering and complete drying of the'"
37,1,"'1. Thrips, Stenchaetothrips biformis, Thripidae, Thysanoptera Symptom of attack: Affected nurseries present a pale yellow colour with brown tips . On passing the wet palm over the top of the seedlings a large number of black adults and yellowish nymphs may be seen striking to the palm. The infestation invariably disappears after sharp showers. Nature of damage: Both the adults and nymphs lacerate the tender leaves and suck up the plant sap.  As a result fine yellowish lines or silvery streaks are seen on the leaves. Later, the leaves curl longitudinally and begin to dry from the tip downwards. In severe cases, the entire nursery may dry up and fail to produce seedling. Sometimes transplanted crop is also affected in the early stages. Life stages Egg: Eggs laid singly in the tissues of the tender leaves on the sides facing the stem. Eggs are hyaline and turn pale yellow as they mature. Nymph: Newly hatched nymphs are transparent but turn yellowish white after the first moult and possess darker legs, head and antennae. Pupa: Pupation takes place inside the rolled leaves and appendages and wings are clearly visible. Adult: Adult is 1 mm long, dark brown to black in colour with fringed wings. Male is smaller, more slender than female. It reproduces parthenogenetically since males are seldom seen in the population.'"
38,3,"'ovipositional punctures. Nymphs and adults exude sticky, whitish honeydew, which attracts sooty mould (that reduces the photosynthetic rate) . It also transmits plant diseases such as dwarf, transitory yellowing, yellow dwarf and rice tungro virus (Tungro is transmitted during short feeding period). Life stages Egg: Greenish transparent eggs are deposited in the midrib of leaf blade or sheath of rice or green grass. They are laid in batches of 10 to 15 arranged in a single row. Nymph: The nymphs are soft bodied, yellow white in colour. Gradually the colour changes to green.'"
39,4,"'Adult: Adults are 3-5 mm long, bright green with variable black markings, wedge shaped with a characteristic diagonal movement. Male insect has a black spot in middle of the forewings that is absent in females. The insect is active during July to September.'"
40,5,"'3. Brown planthopper/ Fulgorid, Nilaparvata lugens, Delphacidae, Hemiptera Symptom of attack: Symptoms will not be visible from outside in the early stages, but if we enter the field and tap the plants large number of this insect can be seen. They are visible only when the damage has been severe, the plants present a burnt up appearance, hopper burn, in circular patches. Nature of damage: Both the nymphs and adults remain at the ground level and suck the plant sap. It is a typical vascular feeder primarily sucking phloem sap leading to hopper burn . At early infestation, circular yellow patches appear which soon turn brownish due to the drying up of the plants. The patches of infestation then may spread out and cover the entire field. The grain setting is also affected to a great extent. During sustained feeding, it excretes a large amount of honeydew . It also acts as vector of the virus diseases like grassy stunt, wilted stunt and ragged stunt. (Transmission of persistent ragged stunt and grassy stunt virus require more time. Sheath blight and stem rot incidence was high in BPH infested plants.) Life stages Egg: Eggs are laid in a group of 2 to 12 in leaf sheath (near the plant base or in the ventral midribs of leaf blades) . White, transparent, slender cylindrical and curved eggs are thrust in straight-line in two rows . (They are covered with a dome-shaped egg plug secreted by the female. Only the tips protrude from the plant surface.) Nymph: Freshly hatched nymph is cottony white, 0.6 mm long and it turns purple- brown, 3.0 mm long in the fifth instar. Adult: Adult hopper is 4.5-5.0 mm long and has a yellowish brown to dark brown body. The wings are sub hyaline with a dull yellowish tint. It has two characteristic wing morphs: macropterous (long winged ) and brachypterous (short winged). (Wing morphism is influenced by various factors viz., crowding during the nymphal stage and reduction in the quality and quantity of food, short day length and low temperature, which favour macroptery)'"
41,224,'As part of the natural development of a fruit an abscission layer is formed in the pedicel.'
42,225,"'4 A fruit may change in texture during maturation, especially during ripening when it may become rapidly softer. Excessive loss of moisture may also affect the texture of crops. These textural changes are detected by touch, and the harvester may simply be able to gently squeeze the fruit and judge whether the crop can be harvested.'"
43,6,"'Symptom of attack: Heavy infestation cause outer leaves of a hill to show burn symptoms. Damage in the form of hopperburn appears uniformly in a rice field, whereas it appears as circular patches in the case of BPH. Nature of damage: WBPH is more abundant during the early stage of the growth of rice crop, especially in nurseries. (It attacks less than four-month old plants in fields with standing water and shows a marked increase with the age of the crop. Rice is more sensitive to attack at the tillering phase than at the boot and heading stages. ) Damage is caused through feeding and oviposition. Gravid females cause ovipositional punctures in leaf sheaths. Both nymphs and adults suck phloem sap causing reduced vigour, stunting, yellowing of leaves and delayed tillering and grain formation . (Rice crop fails to produce complete grains [seedless glumes] and this condition is known as red disease in Malaysia.) Feeding puncture and lacerations caused by ovipositor predispose the plants to pathogenic organisms and'"
44,7,"'honeydew excretion encourages the growth of sooty mould . It is not a vector of any viral disease. Egg: Cylindrical eggs are laid in groups when the rice plant is small but in the upper part of the rice plant when the plant is large. (They are laid with the micropylar end protruding from the tissue, the operculum is long and narrow. The eggs in a group are not sealed together by the material secreted by female.) Nymph: White to a strongly mottled dark grey or black and white in colour and 0.6 mm size when young. Fifth instar nymph with a narrow head and white or creamy white body. Dorsal surface of the thorax and abdomen marked with various amounts of grey and white markings. Adult: The adult hopper is 3.5-4.0 mm long. The forewings are uniformly hyaline with dark veins. There is a prominent white band between the junctures of the wings. Macropterous males and females and brachypterous females are commonly found in the field.'"
45,184,"'1. Rice weevil, Sitophilus oryzae, S. zeamais, S. granarius, Curculionidae, Coleoptera Host range: Wheat, rice, maize, jowar, paddy. Life history:  150-250 E 4-5 d          L 20 d A 3-6 d           P Symptom of damage: Presence of irregular holes of 1.5 m diameter on grains of rice, sorghum, wheat, barley, maize before harvest and in store. Nature of damage: Both grub and adults cause the damage. Grains are hollowed out; kernels are reduced to mere powder. S. oryzae and S. zeamais starts its attack in field itself. Adults cut circular holes. Heating takes place during heavy infestation, which is known as ‘dry heating’. Egg: Translucent white, plugs the egg hole with gelatinous secretion, laid singly. Grub : White with yellowish brown head,  apodous, fleshy,  curved, remains within the grain Pupa: Pupates inside the grain. Adult: Small, reddish brown to chocolate coloured weevils has characteristic snout, elbowed antennae, slightly clubbed. Hindwings present except in S. granarius. S. zeamais is the largest amongst the three species.'"
46,226,'Physical and chemical treatment to increase the shelf life conditions for'
47,11,"'7. Earhead bug/ Gundhi bug, Leptocorisa acuta , Alydidae, Hemiptera Symptom of attack: Leaves turn yellow and later rusted from tip downwards. Appearance of numerous brownish spots at the feeding sites / shrivelling of grains. In the case of heavy infestation, the whole earhead may become devoid of mature grains. Its presence in the field is made out by its strong smell. Nature of damage: Both adults and nymphs do the damage. The nymphs start feeding 3 to 4 hours after hatching. They feed on the leaf sap near the tip/ on milky sap in developing spikelets at milky stage. Sucking of the milky sap causes ill-filled/ partial filled and chaffy grains . Serious infestation can reduce the yield by 50%. The straw gives off-flavour that is unattractive to cattle. Egg: Eggs are circular, brownish seed like, 2 mm long, laid in clusters in two rows along the midrib on the upper surface of the leaf-blade. Nymph: First instar is small, 2 mm long, pale green in colour, which grows to deepen green through different instars. Adult: Adults are greenish yellow, long and slender, above ½ inch in length with a characteristic buggy odour.'"
48,12,"'8. Earhead stink bug/ Shield bug/Red spotted bug, Menida histrio, Pentatomidae, Hemiptera Symptom of attack: Small dot like discoloration on the grains. Nature of damage: Both adult and nymph suck the sap/ milk of developing rice grain and cause pecky rice . (Grain discoloration is caused by subsequent infections of pathogenic fungi or bacteria on the sucking injuries and such grains are called as pecky rice). Sucking of this pentatomid bug causes comparatively small dot like discolorations on the grain than by L. acuta. Egg: Eggs are laid in masses of 2-6 on leaves. Nymph: Nymphs are dark brown. Adult: It is a small brown bug with red and yellow spots.'"
49,13,"'Minor pests 1. White leafhopper, Cofana spectra, Cicadellidae, Hemiptera 2. Nama vandu/ Stripped bug, Tetroda histeroides, Pentatomidae, Hemiptera 3. Blue leafhopper, Empoascanara spp., Cicadellidae, Hemiptera 4. Zigzag leafhopper, Recilia dorsalis , Cicadellidae, Hemiptera'"
50,14,"'1. Paddy stem borer , Scirpophaga incertulas, Pyraustidae, Lepidoptera Symptoms of attack: A number of stem borer moths seen dead and floating on the water in the fields. In the vegetative stage, dead hearts seen in the affected tillers and in the reproductive stage, whiteear may be seen. Nature of damage: The insect may start attacking the plants in the nursery especially long duration varieties. The incidence is mild in the season June to September, but later on gets intensified from October to January and February. The caterpillar enters the stem and feeds on the growing shoot. As a result the central shoot dries up and produces the characteristic dead heart . The tillers may get affected at different stages. When they are affected at the time of flowering the earheads become chaffy and are known as white ear . Egg: Eggs are creamy white, flattened, oval and scale like and laid in mass. Each egg mass consists of 15-80 eggs and covered with buff coloured hairs. Before hatching, the eggs darken to a purplish tinge. They are laid mostly near the tip of the leaves. Larva: The hatched larvae move downward and wander about on the plant for 1 or 2 hours. They may hang down by a sliver thread and get to other plants with the help of the wind. They can also swim over the water and reach other tillers. They enter the leaf sheath and feed upon the green tissues of the stem for 2-3 days. Then they bore into the stem near the node. Deposition of silica in the epidermal layer of the stem and leaf sheath acts as an obstacle to the first instar larvae to chew up a hole. Generally only one caterpillar is seen inside a tiller. It may come out and attack fresh tiller. The full-grown caterpillar measures about 20 mm, white or yellowish white in colour with a conspicuous prothoracic shield. Pupa: Pupation takes place inside the rice stem, straw or stubble. Before pupation it make a exit hole in the internode and covers it will a thin web for the adult to come out later. The anterior extremity of the cocoon is tubular and attached to the exit hole and to make the cocoon waterproof the larva webs two horizontal septa in this tubular area. Adult: They exhibit remarkable sexual dimorphism. The female moth is bright yellowish brown with a black spot at the centre of the forewing and a tuft of yellow hairs at the anal region. The male is small in size and brownish.'"
51,1462,"'Centre of origin – Southeast China Later it spread to Southern portion of China, parts of India, Myanmar, Thailand, Laos and Vietnam Early part of 19 th Century – An unsuccessful attempt was made to establish Chinese tea in India. Only when the native „wild‟ tea plants found in Assam were used, the tea production in India became successful.'"
52,39,'Red hairy caterpillar: Amsacta albistriga : Arctiidae: Lepidoptera Angoumois grain moth: Sitotroga cerallela : Gelechiidae: Lepidoptera Cryptoblabes sp.: Pyralidae: Lepidoptera Flower webber: Eublemma silicula : Noctuidae: Lepidoptera Dolicoris indicus : Nezara viridula : Pentatomidae: Hemiptera These pests are found on the earheads in the milky stage. The injury is only very little.'
53,150,"'1. Hairy caterpillar , Utethesia pulchella, Arctiidae, Lepidoptera Symptom of damage:  Defoliation of the plant. Nature of damage: Larva feeds on leaves and also cause severe damage by feeding on the contents of developing pods.'"
54,15,"'2. Paddy gall midge, Orseolia oryzae , Cecidomyiidae, Diptera Symptom of attack: The central shoot instead of producing leaf produces a long tubular structure. When the gall elongates as an external symptom of damage, the insect will be in pupal stage and ready for emergence. Nature of damage: The maggot bores into the growing point of the tiller and causes abnormal growth of the leaf sheath, which becomes whitish tubular and ends bluntly. It may be pale green, pink or purplish. Further growth of tiller is arrested. This is called onion shoot , silver shoot or anaikomban .  The feeding by the maggot and the larval secretion, which contains an active substance called cecidogen, is responsible for cell'"
55,16,"'proliferation of the meristematic cells and gall formation. It is a pest in irrigated and wet season crop. Tillers in 35 to 53 days old crops are preferred. Egg: The fly lays elongate, cylindrical, shinning white or red or pinkish eggs singly or in clusters (2-6) at the base of the leaves. Maggot: Maggot is 1 mm long after hatching with pointed anterior end. It creeps down the sheath and enters the growing bud. An oval chamber is formed round the site of feeding. Pupa: At the time of emergence the pupa wriggles up the tube with the help of antennal horn to the tip of the silver shoot and projects half way out. Adult: The adult fly is yellowish brown and mosquito like. The male is ash grey in colour. Adults feed on dewdrops.'"
56,17,"'1. Swarming caterpillar : Spodoptera mauritia : Noctuidae: Lepidoptera Symptom of attack: Nurseries found completely eaten away by the caterpillars’ overnight. Nature of damage: Caterpillars march in large numbers in the evening hours and feed on the leaves of paddy seedlings till the morning and hide during daytime. They feed gregariously and after feeding the plants in one field march onto the next field. Under severe infestation crop gives the appearance of grazed plants . Attacked plants are reduced to stumps. Nurseries situated in ill-drained marshy areas attacked are earlier than dry ground. Damage is severe during July to September. Egg: Eggs are spherical and creamy in colour, which are laid in a group covered over with grey hairs. Larva: The caterpillars are light green with yellowish white lateral and dorsal stripes in the early stages and later become dark brown or grayish green in colour with a crescent (semi-circular) shaped black spot on the side of each segment. Pupa: They pupate inside the soil in earthen cocoons. Pupa is dark brown and measures 16-17 mm long. Adult: The adult moth is medium sized, stout built dark brown with a conspicuous triangular black spot on the forewings. Hind wings are brownish white with thin black margins.'"
57,32,'6. Leaf roller : Marasmia trapezalis : Pyralidae: Lepidoptera Symptom of attack: Rolled up leaves in which the larvae are found feeding and longitudinal patches on leaves whose tips dry are the clear symptoms. Nature of damage: The leaf roller becomes quite serious on young crops and feeds on the leaf epidermis. It causes longitudinal patches on the leaves and the tips of the leaves dry up. It is only a minor pest and rarely becomes serious. The varieties with broad leaves are attacked more severely. Egg: Eggs are laid on young leaves. Larva: A caterpillar is greenish yellow and is provided with setae over its body. Head and thoracic shield are brownish in colour. When full grown the caterpillar measures about 20 mm. Pupa: Pupation takes place within the rolled leaf. Adult: Adults are grayish with shining coloured patterns. Anal margins are darker in colour.'
58,33,'7. Flea beetle : Cryptocephalus schestedti : Chrysomelidae: Coleoptera Monolepta signata : Chrysomelidae: Coleoptera Symptom of attack: Shot holes. Nature of damage: The pest occurs in small number is feeding on the leaves. It nibbles small holes on the leaves. Life stages: C. schestedti : This is an yellow beetle with long black streak. M. signata : Adult is a black beetle with four yellow spots.'
59,185,"'2. Sweet potato weevil, Cylas formicarius , Apionidae, Coleoptera Host range: Sweet potato. Life history:   200 E 3-5 d G Total life cycle : 1-1 ½ mon A 7-10 d P Symptom of damage: Grubs and adults bore into the tubers and make them unfit for consumption. Nature of damage: It is an important pest both in the field and in storage. Grubs bore into the tubers and make them unfit for consumption. They also attack the vines. Adult weevils feed on leaves, vines and tubers. Egg: Eggs are laid singly in small cavities on vines and tubers. Grub: Whitish grub is apodous and has a brown head. Pupa: It pupates inside the vine or tuber. Adult: Slender, ant-like with a long snout, shiny black with reddish brown thorax and legs.'"
